Order No. by Month,Client Name,PO Number,PO Received, Amount (IDR) Without Tax 11 % , Amount (USD) , Amount (AUD) ,Contact Person,DP Paid,Balance Paid,Total Monthly Amount (IDR),Total Monthly Amount (USD),Total Monthly Amount (AUD)
20,Jumeirah Bali,PO50580,19/Aug/24," IDR 6,900,000 ",,,,,,,,
21,Rayjin Bali,,19/Aug/24," IDR 18,760,000 ",,,,,,,,
22,Ayana Rock Bar,2024093801,21/Aug/24," IDR 216,066,250 ",,,,,,,,
23,Regent Canggu VIP Amenities,16539,21/Aug/24," IDR 300,240,000 ",,,,,,,,
24,Nusa Dua Beach Hotel & SPA,3928519910003SGKGJI#003735,21/Aug/24," IDR 43,350,000 ",,,,,,,,
25,Riviera Pererenan,,22/Aug/24," IDR 18,500,000 ",,,,,,,,
26,Capella Taipei,,22/Aug/24," IDR 451,696,552 "," USD  27,507.25 ",,,,,,,
27,Bali Radiance ,13062,22/Aug/24," IDR 20,000,000 ",,,,03/Sep/24,,,,
28,Park Hyatt Jakarta,CGKPH0000052111,26/Aug/24," IDR 19,320,000 ",,,,,,,,
29,Samanvaya,,27/Aug/24," IDR 3,840,000 ",,,,,,,,
30,Six Sense London Bamboo SPA,PO 00105,27/Aug/24," IDR 123,443,653 "," USD  7,597.00 ",,,12/Sep/24,,,,
31,ST Regis Bali (SAMPLE),,29/Aug/24," IDR 1,545,000 ",,,,,," IDR 2,503,006,996 "," USD  51,325.25 ", AUD  0
1,Da Maria,,02/Sep/24," IDR 244,950,000 ",,,,03/Sep/24,,,,
2,Pablo Long Time Restaurant (Sake Set),,02/Sep/24," IDR 2,760,000 ",,,,03/Sep/24,,,,
3,Sardine,,04/Sep/24," IDR 15,870,000 ",,,,,,,,
4,Buzo Salazon,,06/Sep/24," IDR 14,880,000 ",,,,,,,,
5,Alila Seminyak,PO00109425,06/Sep/24," IDR 1,980,000 ",,,,11/Sep/24,,,,
6,Bvlgari,DPSBG-00197313,06/Sep/24," IDR 38,489,250 ",,,,,,,,
7,Six Sense Kanuhura (Pump),K202409-03379,06/Sep/24," IDR 24,631,500 "," USD  1,500.00 ",,,,,,,
8,La Brisa,,06/Sep/24," IDR 15,000,000 ",,,,13/Sep/24,,,,
9,Marea,,09/Sep/24," IDR 9,720,000 ",,,Irene - Purchasing,13/Sep/24,,,,
10,Ayana After Rock,KMS - 2024113515,09/Sep/24," IDR 13,900,000 ",,,,,,,,
11,Mana Uluwatu,,09/Sep/24," IDR 53,850,000 ",,,,,,,,
12,Four Season Jimbaran Sundara,BAL0263090,12/Sep/24," IDR 99,040,000 ",,,,,,,,
13,Menjangan Dynasty Resort,P240826013,12/Sep/24," IDR 87,150,000 ",,,,,,,,
14,The Damai Hotel,,13/Sep/24," IDR 35,620,000 ",,,,,,,,
15,Hujan Locale,,13/Sep/24," IDR 2,560,000 ",,,,,,,,
16,Luna Beach Hotel,,16/Sep/24," IDR 15,750,000 ",,,,,,,,
17,The Westin - Ikan,,16/Sep/24," IDR 22,800,000 ",,,,,,,,
18,The Edge,P240913021,16/Sep/24," IDR 15,200,000 ",,,,,,,,
19,Ayana Karang Restaurant,,18/Sep/24," IDR 310,500,000 ",,,,,,,,
20,Jumeirah Bali (Small Teapot),53265,18/Sep/24," IDR 20,400,000 ",,,,,,,,
21,Kala Uluwatu,,18/Sep/24," IDR 19,000,000 ",,,,,,,,
22,Nusa Dua Beach Hotel ,39283099100031SIPO3V#006644,19/Sep/24," IDR 16,200,000 ",,,,,,,,
23,Drifter,,19/Sep/24," IDR 27,200,000 ",,,,12/Sep/24,,,,
24,Silolona,,19/Sep/24," IDR 100,560,000 ",,,,,,,,
25,Mimosa - Four Season Nam Hai,NO.2409-537/HH-KEV,19/Sep/24," IDR 109,082,880 "," USD  6,684.00 ",,,,,,,
26,Four Season Ayung Teras,UBU0141115,19/Sep/24," IDR 39,240,000 ",,,,,,,,
27,Jayason SAMPLE,,20/Sep/24,," USD  1,376.50 ",,,,,,,
28,Mexicola Canggu,,20/Sep/24," IDR 13,625,000 ",,,,,,,,
29,Four Season Sayan,UBU0146630,20/Sep/24," IDR 45,970,000 ",,,,,,,,
30,Revolver Umalas SAMPLE,,30/Sep/24," IDR 355,000 ",,,,,,,,
31,Maya Sanur RUE,P240927002,30/Sep/24," IDR 85,547,500 ",,,,,,,,
32,Maya Sanur RUE,P240927003,30/Sep/24," IDR 36,028,750 ",,,,,,,,
33,Maya Sanur RUE,P240927004,30/Sep/24," IDR 15,983,750 ",,,,,,,,
34,Maya Sanur RUE,P240927005,30/Sep/24," IDR 19,950,000 ",,,,,,,,
35,Zi Biru,,30/Sep/24," IDR 33,050,500 ",,,,05/Sep/24,,,,
36,Four Season Jimbaran,BAL0268401,30/Sep/24," IDR 43,500,000 ",,,,,," IDR 1,650,344,130 "," USD  9,560.50 ", AUD  0
1,New World Phu Quoc - Mimosa,No.2409-566/HH-KEV,01/Oct/24," IDR 109,344,000 "," USD  6,700.00 ",,,,,,,
2,Ayana Hospitality (5 Outlet),2024123106,01/Oct/24," IDR 437,755,250 ",,,,,,,,
3,Billy Ho,,01/Oct/24," IDR 15,575,000 ",,,,,,,,
4,Raffles Bahrain,21886899202488SJANDK,02/Oct/24," IDR 1,592,665,536 "," USD  97,589.80 ",,,,,,,
5,Margaret Bistro Canggu,,02/Oct/24," IDR 111,225,000 ",,,,,,,,
6,Four Season Jimbaran Taman Wantilan,BAL0268400,02/Oct/24," IDR 18,250,000 ",,,,,,,,
7,Nihi Sumba,PO202409-09625,03/Oct/24," IDR 23,280,000 ",,,,,,,,
8,Nihi Sumba Kaboku,PO202409-09454 & PO202409-09473,07/Oct/24," IDR 24,127,000 ",,,,,,,,
9,Mama San,,07/Oct/24," IDR 16,500,000 ",,,,,,,,
10,Ayana Kisik Restaurant SAMPLE,,07/Oct/24," IDR 1,660,000 ",,,,,,,,
11,Ku De Ta,,07/Oct/24," IDR 24,700,000 ",,,,,,,,
12,Six Sense London Bamboo Retail,#PO00133,10/Oct/24," IDR 50,453,145 "," USD  3,105.00 ",,,,,,,
13,La Reserve,,11/Oct/24," IDR 16,650,000 ",,,,,,,,
14,Regent Canggu Public Area,PO 19256,14/Oct/24," IDR 35,604,000 ",,,,,,,,
15,Mason Uluwatu,14640,15/Oct/24," IDR 2,250,000 ",,,,,,,,
16,Marloe Calile,PO 540,17/Oct/24,,," AUD  1,450.00 ",,,,,,
17,Bali Radiance (Pump Only),13252,17/Oct/24," IDR 1,400,000 ",,,,,,,,
18,Maya Ubud,P241022024,24/Oct/24," IDR 8,800,000 ",,,,,,,,
19,Maya Ubud,P241022025,24/Oct/24," IDR 5,625,000 ",,,,,,,,
20,Nihi Rote,RAG-042,24/Oct/24," IDR 39,050,000 ",,,,,,,,
21,Bali Radiance ,13282,25/Oct/24," IDR 25,200,000 ",,,,,,,,
22,Seniman Coffee,,25/Oct/24," IDR 15,200,000 ",,,,,,,,
23,W Hotel Maldives,,29/Oct/24,," USD  13,880.00 ",,,,,,,
24,Capella Ubud,PO NO 22753-217/1,29/Oct/24," IDR 10,022,500 ",,,,,,,,
25,Capella Ubud,PO NO 22754-217/1,29/Oct/24," IDR 30,400,000 ",,,,,,,,
26,Capella Taipe Additional,,30/Oct/24,," USD  8,759.00 ",,,,,,,
27,Boma Beach Club,,30/Oct/24,," USD  26,432.33 ",,,,," IDR 2,615,736,431 "," USD  156,466.13 "," AUD  1,450.00 "
1,Amarterra Villas Bali Nusa Dua,POR-202408664,01/Nov/24," IDR 30,534,000 ",,,,,,,,
2,Maya Ubud,P241031014,01/Nov/24," IDR 2,520,000 ",,,,,,,,
3,Regent Canggu Public Area Bathroom,PO20222,04/Nov/24," IDR 3,795,000 ",,,,,,,,
4,Mimosa - Regent Canggu Phu Quoc,2410-658/HH-KEV,04/Nov/24,," USD  8,584.00 ",,,,,,,
5,LXR,DPSOL2411125,05/Nov/24," IDR 40,225,000 ",,,,,,,,
6,Bvlgary,DPSBG-00200796,05/Nov/24," IDR 5,040,000 ",,,,,,,,
7,Asa Maia,P241031001 & P241031002,06/Nov/24," IDR 15,666,000 ",,,,,,,,
8,Ritz-Carlton Maldives (Beach Shack - Mug),RCPO24007622,07/Nov/24,, USD  950.00 ,,,,,,,
9,Kudeta (Creme Brulee),KDT/06/XI/2024,07/Nov/24," IDR 2,550,000 ",,,,,,,,
10,Earth Island Bali,,11/Nov/24," IDR 53,000,000 ",,,,,,,,
11,Locavore NXT,,14/Nov/24," IDR 9,500,000 ",,,,,,,,
12,Ritz-Carlton Maldives (Beach Shack - Teapot),RCPO24007769,14/Nov/24,, USD  375.00 ,,,,,,,
13,Buzo Salazon,,14/Nov/24," IDR 6,240,000 ",,,,,,,,
14,Pahdi Speciality Coffee (New),,15/Nov/24," IDR 230,499,750 ",,,,,,,,
15,Maya Ubud SAMPLE Vase,P241115025,15/Nov/24," IDR 1,132,200 ",,,,,,,,
16,Ritz Carlton Maldives (Glass Cloche & Tray),RCPO24007877,16/Nov/24,, USD  825.00 ,,,,,,,
17,Naughty Nuri's,23489,20/Nov/24," IDR 5,200,000 ",,,,,,,,
18,Indigo Seminyak (Oval Plate),PO53442,20/Nov/24," IDR 10,000,000 ",,,,,,,,
19,Riviera Pererenan,,20/Nov/24," IDR 1,680,000 ",,,,,,,,
20,Raffles Bali,PO202411-11632,20/Nov/24," IDR 4,440,000 ",,,,,,,,
21,Alila Seminyak  (Egg Cup),PO00113201,21/Nov/24," IDR 2,500,000 ",,,,,,,,
22,Oberoi Bali,PO35531,22/Nov/24," IDR 128,010,750 ",,,,,,,,
23,Regent Canggu (Welcome Drink Tray),21223,22/Nov/24," IDR 5,400,000 ",,,,,,,,
24,The Apurva Kempinski Bali - Koral,HW-181026,22/Nov/24," IDR 11,571,000 ",,,,,,,,
25,Paul McAllister,,22/Nov/24,, USD  228.00 ,,,,,,,
26,Monokuro (New),,22/Nov/24," IDR 16,050,000 ",,,,,,,,
27,Four Season Maldives,MLG009084,25/Nov/24,," USD  1,290.00 ",,,,,,,
28,Mexicola Canggu,,28/Nov/24," IDR 13,630,000 ",,,,,,,,
29,Intercontinental Bali Resort,PO53460,28/Nov/24," IDR 7,800,000 ",,,,,," IDR 606,983,700 "," USD  12,252.00 ", AUD  0
1,Billy Ho,,02/Dec/24," IDR 7,795,000 ",,,,,,,,
2,Bokashi,,02/Dec/24," IDR 8,550,000 ",,,,,,,,
3,Bali Meraki,,02/Dec/24," IDR 31,595,000 ",,,,,,,,
4,Hiyoko 2.0 Jakarta,,05/Dec/24," IDR 17,340,000 ",,,,,,,,
5,Six Senses Bamboo - Public Area,PO 00196,05/Dec/24,, USD  936.00 ,,,,,,,
6,Ku De Ta (Sharing Plate),,09/Dec/24," IDR 6,300,000 ",,,,,,,,
7,Ku De Ta ,,09/Dec/24," IDR 3,900,000 ",,,,,,,,
8,Jin Joo,PO202411270001,09/Dec/24," IDR 16,680,000 ",,,,,,,,
9,WolfGang Puck,PO-BMker/6948/12/WGP-ASI/2024,09/Dec/24," IDR 139,650,000 ",,,,,,,,
10,Six Senses Uluwatu (New Bottle),PO2024-26193,09/Dec/24," IDR 159,600,000 ",,,,,,,,
11,Handara Golf & Resort Bali,,10/Dec/24," IDR 224,040,000 ",,,,,,,,
12,Keraton At The Plaza (SAMPLE),,10/Dec/24," IDR 1,900,000 ",,,,,,,,
13,Samabe,P241125020,10/Dec/24," IDR 15,840,000 ",,,,,,,,
14,Revolver Seminyak,,11/Dec/24," IDR 20,220,000 ",,,,,,,,
15,Renarte - Grand Millenium Business Bay,,11/Dec/24,, USD  984.00 ,,,,,,,
16,Indigo Seminyak Japanese,PO 5503,11/Dec/24," IDR 2,320,000 ",,,,,,,,
17,Holiday Inn Benoa,11620,16/Dec/24," IDR 41,940,000 ",,,,,,,,
18,Holiday Inn Benoa,11651,16/Dec/24," IDR 33,650,000 ",,,,,,,,
19,Holiday Inn Benoa Additional,7981,16/Dec/24," IDR 1,125,000 ",,,,,,,,
20,Belmond Jimbaran Puri,PTBA-PO-064715,17/Dec/24," IDR 47,860,000 ",,,,,,,,
21,Revolver Airport International,,17/Dec/24," IDR 12,000,000 ",,,,,,,,
22,Revolver Airport Domestic,,17/Dec/24," IDR 9,000,000 ",,,,,,,,
23,Regen Canggu Ashtray & Dulang,22193,17/Dec/24," IDR 66,200,000 ",,,,,,,,
24,St Regis Bali,,18/Dec/24," IDR 70,000,000 ",,,,,,,,
25,Hilton London,,18/Dec/24,," USD  4,305.00 ",,,,,,,
26,Six Senses Kanuhura,K202412-04717,18/Dec/24,," USD  1,885.00 ",,,,,,,
27,Waldorf Astoria Maldives Inn Villa Dinning,MLEON59328,19/Dec/24,," USD  16,602.21 ",,,,,,,
28,Nihi Rote,,19/Dec/24," IDR 37,935,000 ",,,,,,,,
29,Nihi Rote - Tea Set,,19/Dec/24," IDR 4,800,000 ",,,,,,,,
30,W Hotel Maldives ,PO01-2024,20/Dec/24,," USD  11,732.50 ",,,,,,,
31,Gio's Private Villa Canggu,,20/Dec/24," IDR 49,680,000 ",,,,,,,,
32,Intercontinental Bandung,PO 74635,23/Dec/24," IDR 5,810,000 ",,,,,,,,
33,Intercontinental Bandung,PO 74639,23/Dec/24," IDR 6,070,000 ",,,,,,,,
34,LXR,DPSOL2413288,23/Dec/24," IDR 17,052,000 ",,,,,,,,
35,Nihii Rote Tea Set,122414-1,23/Dec/24," IDR 9,600,000 ",,,,,,,,
36,Nihi Rote Additional,122440-2,23/Dec/24," IDR 45,445,000 ",,,,,,,,
37,DOPA SAMPLE,,24/Dec/24,, USD  26.50 ,,,,,,,
38,The Westin Resort Nusa Dua,,24/Dec/24," IDR 15,960,000 ",,,,,,,,
39,Ayana Bali SPA (Hand Soap Bottle),2024164203,24/Dec/24," IDR 5,040,000 ",,,,,,,,
40,Hotel Permana Hijau,,24/Dec/24," IDR 77,400,000 ",,,,,,,,
41,Mason,PO 40911,24/Dec/24," IDR 31,000,000 ",,,,,,,,
42,Swissotel Jakarta (Chinesse Tea Pot),PO 202412-26551,26/Dec/24," IDR 15,400,000 ",,,,,,,,
43,Swissotel Jakarta,PO 202412-26550,26/Dec/24," IDR 25,300,000 ",,,,,,,,
44,Tabula Rasa Lombok SAMPLE,,26/Dec/24," IDR 4,600,000 ",,,,,,,,
45,Regent Canggu Spa,,31/Dec/24,,,,,,,,,
46,Regent Canggu Sazon,,31/Dec/24,,,,,,,,,
47,Maya Ubud Cups,P241225003,31/Dec/24," IDR 15,247,500 ",,,,,,,,
48,Maya Ubud Vases ,P241225004,31/Dec/24," IDR 30,600,000 ",,,,,,,,
49,Capella Ubud (Teapot),22146-217/2,31/Dec/24," IDR 6,840,000 ",,,,,," IDR 1,303,844,500 "," USD  36,471.21 ", AUD  0
1,Intercontinental Jimbaran,PO 58066,03/Jan/25," IDR 24,000,000 ",,,,,,,,
2,Tejaprana Bisma,P241226002,03/Jan/25," IDR 40,240,000 ",,,,,,,,
3,Nihi Sumba (Mug),PO 202412-12582,03/Jan/25," IDR 7,000,000 ",,,,,,,,
4,BGS Sample,,03/Jan/25," IDR 235,000 ",,,,,,,,
5,Four Season Sayan SPA,UBU0148191,04/Jan/25," IDR 24,750,000 ",,,,,,,,
6,Fairmont Jakarta,PO2501-00788,10/Jan/25," IDR 167,300,000 ",,,,,,,,
7,Ayana Midplaza Jakarta ,2024167089,10/Jan/25," IDR 7,000,000 ",,,,,,,,
8,PT Indoguna Utama,PO21491,10/Jan/25," IDR 25,175,000 ",,,,,,,,
9,CV. Pasar Tani Indoguna,PO21492,10/Jan/25," IDR 10,070,000 ",,,,,,,,
10,CV. Pasar Tani Indoguna,PO21493,10/Jan/25," IDR 10,070,000 ",,,,,,,,
11,CV. Palembang Boga Utama,PO21494,10/Jan/25," IDR 10,070,000 ",,,,,,,,
12,CV. Bandung Boga Utama,PO21495,10/Jan/25," IDR 10,070,000 ",,,,,,,,
13,CV. Cipaku Boga Utama,PO21496,10/Jan/25," IDR 20,140,000 ",,,,,,,,
14,CV. Surabaya Boga Utama ,PO21497,10/Jan/25," IDR 10,070,000 ",,,,,,,,
15,CV. Bali Boga Utama,PO21498,10/Jan/25," IDR 10,070,000 ",,,,,,,,
16,CV. Makasar Boga Utama,PO21499,10/Jan/25," IDR 10,070,000 ",,,,,,,,
17,Balikpapan Boga Utama,PO21500,10/Jan/25," IDR 10,070,000 ",,,,,,,,
18,32 Do Bali Restaurant,1239,10/Jan/25," IDR 7,000,000 ",,,,,,,,
19,Nihi Sumba (Curry Bowl),PO202501-00371,15/Jan/25," IDR 25,200,000 ",,,,,,,,
20,Bali Radiance ,PO 13483,15/Jan/25," IDR 39,600,000 ",,,,,,,,
21,Six Senses Con Dao,PO 03713,15/Jan/25,," USD  5,707.00 ",,,,,,,
22,Japa Ubud,,16/Jan/25," IDR 106,600,000 ",,,,,,,,
23,Dragonfly Villa,,16/Jan/25," IDR 40,236,000 ",,,,,,,,
24,Dragonfly Villa SAMPLE,,21/Jan/25," IDR 225,000 ",,,,,,,,
25,VDA,,21/Jan/25,," USD  24,443.10 ",,,,,,,
26,Sandy Toes,,21/Jan/25,," USD  5,648.85 ",,,,,,,
27,Mandarin Oriental Bali,095/HCB/I/2025,21/Jan/25," IDR 23,745,000 ",,,,,,,,
28,Mandarin Oriental Bali SAMPLE,098/HCB/I/2025,21/Jan/25," IDR 1,040,000 ",,,,,,,,
29,Greek Restaurant In Uluwatu,,22/Jan/25," IDR 327,341,500 ",,,,,,,,
30,Made By Rumah SAMPLE,,23/Jan/25," IDR 300,000 ",,,,,,,,
31,Ayana Hospitality,2025008470,23/Jan/25," IDR 630,613,380 ",,,,,,,,
32,Nihi Sumba (LAMP),202501-00304,23/Jan/25," IDR 17,500,000 ",,,,,,,,
33,Bali Radiance ,13546,23/Jan/25," IDR 46,800,000 ",,,,,,,,
34,Kaia Restaurant,,23/Jan/25," IDR 16,700,000 ",,,,,,,,
35,Chella Uluwatu,,23/Jan/25," IDR 199,865,000 ",,,,,,,,
36,Cafe Kistune ,,27/Jan/25," IDR 69,550,000 ",,,,,,,,
37,Ginger Moon,,27/Jan/25," IDR 4,440,000 ",,,,,,,,
38,Drifter,,27/Jan/25," IDR 4,480,800 ",,,,,,,,
39,Nihi Sumba SAMPLE,,27/Jan/25," IDR 4,925,000 ",,,,,,,,
40,Motel Mexicola,,28/Jan/25," IDR 196,600,000 ",,,,,,,,
41,The Meru Sanur ,21659,29/Jan/25," IDR 35,750,000 ",,,,,,,,
42,The Meru Sanur ,21660,29/Jan/25," IDR 48,000,000 ",,,,,,,,
43,The Meru Sanur ,21662,29/Jan/25," IDR 73,825,000 ",,,,,,,,
44,The Meru Sanur ,21707,29/Jan/25," IDR 48,050,000 ",,,,,,,,
45,Solana Retreat Ubud,,30/Jan/25," IDR 27,700,000 ",,,,,,,,
46,PT Lombok Kulina Utama,PO21719,30/Jan/25," IDR 118,152,000 ",,,,,,,,
47,CV Bali Boga Utama Jimbaran,PO21720,30/Jan/25," IDR 38,772,000 ",,,,,,,,
48,Balikpapan Boga Utama,PO21721,30/Jan/25," IDR 26,622,000 ",,,,,,,,
49,CV Palembang Boga Utqma,PO21722,30/Jan/25," IDR 26,622,000 ",,,,,,,,
50,CV Pasar Tani Indoguna,PO21723,30/Jan/25," IDR 13,230,000 ",,,,,,,,
51,CV Pasar Tani Indoguna,PO21724,30/Jan/25," IDR 13,230,000 ",,,,,,,,
52,CV Makasar Boga Utama,PO21725,30/Jan/25," IDR 15,390,000 ",,,,,,,,
53,CV Surabaya Boga Utama,PO21726,30/Jan/25," IDR 12,312,000 ",,,,,,,,
54,CV Cipaku Boga Utama,PO21727,30/Jan/25," IDR 122,040,000 ",,,,,,,,
55,Pak Dio Personal Order,,30/Jan/25," IDR 28,242,000 ",,,,,," IDR 2,807,098,680 "," USD  35,798.95 ", AUD  0
1,"Buahan, Banyan Tree Escape",POBTE2501006,05/Feb/25," IDR 12,480,000 ",,,,,,,,
2,Riviera Pererenan,,05/Feb/25," IDR 12,610,000 ",,,,,,,,
3,Riviera Cafe,,05/Feb/25," IDR 6,060,000 ",,,,,,,,
4,Made By Rumah,,06/Feb/25," IDR 30,000,000 ",,,,,,,,
5,Indigo Hotel Seminyak,PO61000,06/Feb/25," IDR 7,500,000 ",,,,,,,,
6,Samanvaya,,07/Feb/25," IDR 22,205,000 ",,,,,,,,
7,Four Season Maldives - Landaa,MLG0095763,07/Feb/25,," USD  1,860.00 ",,,,,,,
8,Alila Seminyak ,PO00116619,10/Feb/25," IDR 2,760,000 ",,,,,,,,
9,Indigo Hotel Seminyak,PO 61480,10/Feb/25," IDR 15,670,000 ",,,,,,,,
10,Khadak Restaurant,PO 3701,10/Feb/25,, USD  276.00 ,,,,,,,
11,Alila Seminyak ,PO00116753,11/Feb/25," IDR  53,875,000 ",,,,,,,,
12,The Sanubari,,11/Feb/25," IDR  116,250,000 ",,,,,,,,
13,Nihi Sumba (BnB Plate),PO202502-01139,11/Feb/25," IDR  10,656,000 ",,,,,,,,
14,Nihi Sumba (Milk Pitcher),PO202502-0124,11/Feb/25," IDR 4,560,000 ",,,,,,,,
15,Andaz Bali,DPSAZ0000053055,11/Feb/25," IDR 4,320,000 ",,,,,,,,
16,Cap Karoso,10674,11/Feb/25," IDR 245,200,000 ",,,,,,,,
17,The Langham Jakarta,PO202502-03407,17/Feb/25," IDR 170,650,000 ",,,,,,,,
18,Six Senses Kanuhura ,K202501-00390,17/Feb/25,, USD  468.00 ,,,,,,,
19,Bali Radiance (Pump Only),13614,17/Feb/25," IDR 2,800,000 ",,,,,,,,
20,Nihi Sumba (Espresso Cup & Saucer),PO202502-01576,17/Feb/25," IDR 32,269,920 ",,,,,,,,
21,Cempaka (Lesley Campbell) - SAMPLE,SAMPLE,18/Feb/25," IDR 8,160,000 ",,,,,,,,
22,Six Senses Krabey Cambodia,"Sign Off received, waiting for PO",18/Feb/25,," USD  4,417.00 ",,,,,,,
23,Six Senses Residence London,,19/Feb/25,, USD  363.00 ,,,,,,,
24,Miss Fish,,21/Feb/25," IDR 2,700,000 ",,,,,,,,
25,Andaz Bali,DPSAZ0000053493,21/Feb/25," IDR 26,200,000 ",,,,,,,,
26,Tabula Rasa Lombok - Lunch & Dinner ,,21/Feb/25," IDR 46,380,000 ",,,,,,,,
27,Tabula Rasa Lombok - BAR,,21/Feb/25," IDR 21,960,000 ",,,,,,,,
28,Tabula Rasa Lombok - Beach,,21/Feb/25," IDR 22,620,000 ",,,,,,,,
29,Bambootel,,21/Feb/25," IDR 184,946,000 ",,,,,,,,
30,Mandarin Oriental,119/HCB/II/2025,21/Feb/25," IDR 3,100,000 ",,,,,,,,
31,Keraton Jakarta,,21/Feb/25," IDR 40,250,000 ",,,,,,,,
32,Four Season Sayan Ayung Terace,UBU0156278,25/Feb/25," IDR 53,540,000 ",,,,,,,,
33,Maya Ubud SAMPLE,P25021052,25/Feb/25," IDR 440,000 ",,,,,,,,
34,Tanadewa,P250224001-REPRINT1,25/Feb/25," IDR 38,520,000 ",,,,,,,,
35,Smeeta - Chef Jolly,,27/Feb/25,," USD  7,381.00 ",,,,,,,
36,Buahan Banyan Tree ,POBTE2502057,28/Feb/25," IDR 9,790,000 ",,,,,,,,
37,Rosewood Doha Replacement,P12000111,,, USD  197.00 ,,,,," IDR 1,208,471,920 "," USD  14,962.00 ", AUD  0
1,Zest Ubud,,03/Mar/25," IDR 8,250,000 ",,,,,,,,
2,Nihi Sumba (Sugar Bowl),,06/Mar/25," IDR 9,240,000 ",,,,,,,,
3,Kebun Bistro SAMPLE,,06/Mar/25," IDR 275,000 ",,,,,,,,
4,Mamasan,,06/Mar/25," IDR 3,120,000 ",,,,,,,,
5,Bokashi Berawa,,07/Mar/25," IDR 8,550,000 ",,,,,,,,
6,Agave & Azul (PT Vatos Tamora Indonesia),,10/Mar/25," IDR 63,780,000 ",,,,,,,,
7,BGS,,13/Mar/25," IDR 3,525,000 ",,,,,,,,
8,Mandara SPA,,13/Mar/25," IDR 4,500,000 ",,,,,,,,
9,Cap Karoso Julang,,13/Mar/25," IDR 30,225,000 ",,,,,,,,
10,Shelter Pererenan,,17/Mar/25," IDR  17,800,000 ",,,,,,,,
11,Alila Seminyak,PO00118150,17/Mar/25," IDR  5,000,000 ",,,,,,,,
12,Six Senses Kanuhura,K202502-01190,17/Mar/25,," USD  1,950.00 ",,,,,,,
13,Bali Asli,,17/Mar/25," IDR  15,525,000 ",,,,,,,,
14,Zest Ubud Additional,,17/Mar/25," IDR 2,250,000 ",,,,,,,,
15,Jumeirah Bali (Cloche) SAMPLE,69300,17/Mar/25," IDR 466,200 ",,,,,,,,
16,Indigo Bintan,PO074/GAI/III/2025,17/Mar/25," IDR 193,825,000 ",,,,,,,,
17,Six Senses Yao Noi SAMPLE,B202503-03674,18/Mar/25,, USD  194.50 ,,,,,,,
18,Hilton Bali,CS/0056/111/25,18/Mar/25," IDR 12,000,000 ",,,,,,,,
19,Jumeirah Bali,69297,18/Mar/25," IDR 15,625,000 ",,,,,,,,
20,Jumeirah Bali (Pasta Bowl),,19/Mar/25," IDR 15,000,000 ",,,,,,,,
21,Ulu Garden Tribe,,19/Mar/25," IDR 131,812,500 ",,,,,," IDR 540,768,700 "," USD  2,144.50 ", AUD  0
