      ,Client Name,PIC,Quotation Out,Qty (Pcs), Amount (IDR) , Amount (USD) , Amount (AUD) , Amount ( EUR ) , Amount (SGD) , Remark ,Contact Person,Send By,Inquiry,Remark
,,,Purchase Order Received,,,,,,,,,,,
,,,Canceled Purchase Order,,,,,,,,,,,
,,,Order is on hold,,,,,,,,,,,
,2024,,,,,,,,,,,,,
14,Banyan Tree Buahan Additional (sauce dish & teapot),Pryanka,06/Feb/25,36," IDR  8,100,000 ",,,,, PO received 27 Feb 2025,Pak Partha - Purchasing,Pryanka,,
15,Alila Seminyak - Lid ,Rahadi,10/Feb/25,50," IDR  5,000,000 ",,,,, TBC,,,,
16,Paola Buendia,Pryanka,11/Feb/25,24," IDR  4,320,000 ",,,,, PO received 12 Feb 2025,Paola Buendia,Pryanka,,
17,Nusa Dua Beach Hotel (Welcome Drink),Pryanka,11/Feb/25,120," IDR  16,200,000 ",,,,, In Sales Target March 2025,Pak Sutiana - Purchasing Manager,Pryanka,,
18,Banyan Tree Buahan (Show Plate),Pryanka,11/Feb/25,24," IDR  4,080,000 ",,,,, PO received 27 Feb 2025,Pak Partha - Purchasing,Pryanka,,
19,Jumeirah Bali (All Day Dining),Pryanka,11/Feb/25,650," IDR  94,500,000 ",,,,, In Sales Target May 2025,Pak Budiana - Purchasing,Pryanka,,
20,Nihi Sumba (Candle Holder),Nadia,13/Feb/25,100," IDR  15,000,000 ",,,,, TBC. Sample in making,,,,
21,Six Senses Krabey Cambodia,Nadia,13/Feb/25,461,," USD  4,417.00 ",,,, PO received 17 Feb 2025,,,,
22,Ritz-Carlton Pacific Place Jakarta,Pryanka,14/Feb/25,48," IDR  17,520,000 ",,,,, 26/02: Already follow up but they still to check to their internal about issue PO,Pak Adi - Purchasing,Pryanka,,
23,Roso Meru Restaurant,Rahadi,14/Feb/25,4028," IDR  633,520,000 ",,,,,,,,,
24,Dragonfly wooden spoon,Rahadi,14/Feb/25,12," IDR  840,000 ",,,,, Canceled order,,,,
25,Keraton Mid Plaza,Rahadi,14/Feb/25,100," IDR  40,250,000 ",,,,,,,,,
26,Nihi Sumba (Espresso Cup & Saucer),Pryanka,17/Feb/25,92," IDR  28,980,000 ",,,,, PO Received 17 Feb 2025,Ibu Anis - Purchasing,Pryanka,,
27,Dopa (Updated with Shipping Cost),Nadia,17/Feb/25,600,," USD  15,806.20 ",,,, Canceled order,,,,
28,2AM Dessert Bar for The Grand Hyatt Red Sea,Nadia,17/Feb/25,420,," USD  8,430.00 ",,,, In Sales Target July 2025,,,,
29,Six Senses Amaala FNB (BOQ),Wendy,17/Feb/25,,," USD  115,960.00 ",,,, TBC,,,,
30,Sushi Samba Singapore,Nadia,18/Feb/25,600,," USD  11,320.00 ",,,, 25/02: Nadia is following up the client ,Khai - Assistant GM,Pryanka,,
31,Bambootel,Nadia,18/Feb/25,1173," IDR  184,946,000 ",,,,, TBC,,,,
32,Tabula Rasa Lombok (Updated),Nadia,18/Feb/25,," IDR  90,960,000 ",,,,,,,,,
33,Cempaka (Updated),Rahadi,18/Feb/25,," IDR  8,160,000 ",,,,,,,,,
34,Indigo Bintan,Rahadi,18/Feb/25,1808," IDR  273,590,000 ",,,,, PO received 17 March 2025 (Amount change into Rp193.852.000),,,,
35,Tanadewa Ubud,Pryanka,19/Feb/25,168," IDR  38,520,000 ",,,,, PO received 24 Feb 2025,Ibu Amik - Purchasing,Pryanka,,
36,Hilton Bali (Sake Set),Rahadi,20/Feb/25,200," IDR  31,750,000 ",,,,, PO received 17 March 2025,,,,
37,Miss Fish,Rahadi,20/Feb/25,30," IDR  2,700,000 ",,,,,,,,,
38,Six Senses Zighy Bay SAMPLE,Nadia,20/Feb/25,3,, USD  38.50 ,,,, Sample is in process,,,,
39,"Nihi Sumba (Sugar Bowl, Wooden Spoon & Wooden Tray)",Pryanka,21/Feb/25,84," IDR  10,860,000 ",,,,, PO received ,Ibu Anis - Purchasing,Pryanka,,
40,Renarte - Purnima,Nadia,21/Feb/25,1152,," USD  15,059.00 ",,,,,,,,
41,Sudamala Resort,Nadia,21/Feb/25,840," IDR  150,630,000 ",,,,, Canceled order,,,,
42,Cap Karoso Julang,Rahadi,21/Feb/25,155," IDR  30,225,000 ",,,,, PO coming in March - repeat order,,,,
43,Park Hyatt Kuala Lumpur,Nadia,21/Feb/25,900,," USD  17,200.00 ",,,, In Sales Target March,,,,
44,Banyan Tree Buahan [Updated],Pryanka,25/Feb/25,51," IDR  9,790,000 ",,,,, This is updated for both Quotation Additional with Sauce Dish & Teapot and Quotation with Show Plate item. They changed the qty pcs,Pak Partha - Purchasing,Pryanka,,
45,Bokashi Berawa (Incense Holder),Pryanka,25/Feb/25,90," IDR  8,550,000 ",,,,, PO received,Ibu Diah - Purchasing,Pryanka,,
46,Four Seasons Sayan (UBU0156278),Pryanka,25/Feb/25,314," IDR  53,540,000 ",,,,,,Ibu Sri - Asst. Purchasing Director,Pryanka,,
47,Six Senses Kanuhura SPA (bottle),Pryanka,25/Feb/25,150,," USD  1,950.00 ",,,, PO received 17 March (Amount change into 780 USD),,,,
48,Fiel By Kay's,Pryanka,25/Feb/25,452,," USD  6,610.00 ",,,,,,,,
49,Ritz Carlton Bali (repeat order),Rahadi,26/Feb/25,," IDR  139,870,000 ",,,,, Moved to May,,,,
50,Ulu Garden (new items for Tribe - without Large Bowl),Pryanka,27/Feb/25,510," IDR  83,050,000 ",,,,,,Haley - Creative Director & Bu Medy - Finance,Pryanka,,
51,Park Hyatt Kuala Lumpur (updated),Nadia,27/Feb/25,950,," USD  18,575.00 ",,,,,,,,
52,Zest Ubud,Pryanka,28/Feb/25,100," IDR  8,150,175 ",,,,, PO received 3 March 2025,Barry ,Pryanka,,
53,Bambootel (updated Logo),Nadia,28/Feb/25,1173," IDR  184,946,000 ",,,,, In Sales Target March,,,,
54,Patina Maldives (7 outlets),Nadia,28/Feb/25,,,,,,,,,,,
,,,,,,,,,,,,,,
,March'25,,,,,,,,,,,,,
1,Kebun Bistro,Pryanka,03/Mar/25,24," IDR  6,600,000 ",,,,,,Purchasing Kebun Bistro,Pryanka,,
2,Kebun Bistro (SAMPLE),Pryanka,03/Mar/25,1," IDR  275,000 ",,,,, Treat as order,,,,
3,TS Suites Seminyak (Price Indication),Pryanka,03/Mar/25,750," IDR  157,480,000 ",,,,,,Pak Agus - Secretary Owner,Pryanka,,
4,Jumeirah Bali (SAMPLE - In-room Cloche),Pryanka,03/Mar/25,2," IDR  420,000 ",,,,, PO received 17 March 2025,Chef Alessio,Pryanka,,
5,Garden Barn,Nadia,03/Mar/25,6,, USD  216.00 ,,,,,,,,
6,Fiamma Restaurant - Fieldcrest,Nadia,03/Mar/25,80,," USD  1,260.00 ",,,,,,,,
7,Nihi Sumba - Sugar Container (revision),Pryanka,03/Mar/25,48," IDR  9,240,000 ",,,,, PO received,,,,
8,Six Senses Yao Noi (sample),Nadia,05/Mar/25,20,, USD  174.50 ,,,,,,,,
9,Mamasan,Pryanka,06/Mar/25,24," IDR  3,120,000 ",,,,,,Ibu Puspa - Purchasing,Pryanka,,
10,Capella Singapore (Fiamma Restaurant),Pryanka,06/Mar/25,370,," USD  4,800.00 ",,,,,Alvin Fieldcrest,Pryanka,,
11,Hujan Locale,Pryanka,06/Mar/25,12," IDR  1,920,000 ",,,,, 18/03: Order cancel by Pak Will,Ibu Trik - Purchasing,Pryanka,,
12,Park Hyatt Kuala Lumpur (With DDP by Air),,06/Mar/25,950,," USD  29,717.50 ",,,,,,,,
13,Jumeirah Bali (Pasta Bowl - Updated),Pryanka,06/Mar/25,50," IDR  15,000,000 ",,,,, Waiting approval from user,Pak Tjahjono,Pryanka,,
14,BGS Coffee,Rahadi,06/Mar/25,15," IDR  2,250,000 ",,,,, PO received,,,,
15,Agave & Azul (PT Vatos Tamora Indonesia),Rahadi,06/Mar/25,336," IDR  63,780,000 ",,,,,,,,,
16,Saratoga ,Rahadi,06/Mar/25,,,,,,,,,,,
17,The Round Tree,Nadia,07/Mar/25,504,," USD  6,456.00 ",,,,,,,,
18,Shelter Pererenan ,Wendy,07/Mar/25,130," IDR  17,800,000 ",,,,,,,,,
19,Ulu Garden (Updated),Pryanka,07/Mar/25,550," IDR  91,600,000 ",,,,, Adding Dessert Plate & Main Plate,Haley (Creative Director) & Risky (Purchasing),Pryanka,,
20,Nusa Dua Beach Hotel,Rahadi,07/Mar/25,46," IDR  3,496,000 ",,,,,,,,,
21,Cap Karoso Julang (Updated Disc 5%),Rahadi,07/Mar/25,155," IDR  28,713,750 ",,,,,,,,,
22,Six Senses Krabey (Updated),Nadia,10/Mar/25,473," IDR  2,250,000 "," USD  4,561.00 ",,,, Adding sunscreen bottle to 24pcs,,,,
,Four Seasons Kuda Huraa,Nadia,10/Mar/25,,," USD  5,102.50 ",,,," Sarah sent the quote, Nadia's taking over the corespondence",,,,
23,BGS Coffee (Updated),Pryanka,11/Mar/25,30," IDR  3,525,000 ",,,,, Adding the saucer,Ibu Yuly Ana,Pryanka,,
24,Zest Ubud Additional,,11/Mar/25,,,,,,,,,,,
25,Hilton Bali Sake Set updated,Rahadi,12/Mar/25,72," IDR  12,000,000 ",,,,, PO received 17 March 2025,,,,
26,Bali Asli,Pryanka,12/Mar/25,125," IDR  15,525,000 ",,,,,,Chef Penelope,Pryanka,,
27,Hilton Bali Lounge,Rahadi,12/Mar/25,1168," IDR  157,100,000 ",,,,,,,,,
28,Raffles Singapore,Rahadi,12/Mar/25,156,," USD  2,640.00 ",,,,,,,,
29,Mandara SPA,Pryanka,12/Mar/25,50," IDR  4,500,000 ",,,,, PO received 13 Mar,Ibu Luh Martini - Purchasing,Pryanka,,
30,Milano Canggu (White Goose Boutique Hotel),Pryanka,13/Mar/25,120," IDR  17,880,000 ",,,,,,Bapak Widhi,Pryanka,,
31,12 Urban Cafe Canggu (Price Indication),Pryanka,14/Mar/25,1710," IDR  232,875,000 ",,,,,,Maksim - Owner,Pryanka,,
32,Surasang Restaurant,Rahadi,14/Mar/25,550," IDR  73,750,000 ",,,,,,,,,
33,Ayana Bali Dava,Pryanka,14/Mar/25,350," IDR  29,250,000 ",,,,,,Ibu Arvinia - Steward,Pryanka,,
34,Indigo Seminyak - Urchin Bowl,Pryanka,17/Mar/25,30," IDR  4,800,000 ",,,,,,Chef Heri,Pryanka,,
35,Capella Taipei,Nadia,17/Mar/25,30,, USD  540.00 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,," IDR  4,489,584,000 "," USD  33,065.00 ",,,," USD  495,975,000.00 ",,,,
,,,,," IDR  4,985,559,000 ",,,,,,,,,
